Run,Seed,Mission Incentive Weight,Reward Regime,Ticks,Completed Tasks,Failed Tasks,Completion Rate (%),Discovered Completion (%),Explored Area (%),Individual Tasks,Cooperative Tasks,Completed Cooperative Tasks,Total Bids,Contested Auction Rounds,Unresolved Auction Rounds,Contracts Awarded,Contract Memberships,Contract Releases,Coalition Attempts,Coalitions Formed,Coalition Tasks Completed,Coalition Success (%),Coalition Formation Efficiency (%),Mean Coalition Size,Mean Coalition Delay,Task Value,Rewards Distributed,Mission Bonuses,Reward Gini,Contract Gini,Top 20% Reward Share (%),Current Links,Mean Network Degree,Network Density,Isolated Robots,Information Transmissions,Unique Information Acquisitions,Information Coverage (%),Information Redundancy,Mean Reputation,Competitive Robots,Cooperative Robots,Balanced Robots,Strategy Switches,Coordination Overhead,Mission Efficiency,Energy Used,Energy Remaining,Failed — Undiscovered,Failed — Auction/No Feasible,Failed — Deadline After Assignment,Failed — Other,Task State Pass,Energy Error,Reward Error,Reputation Bounds Pass,Strategy Validity Pass
11,3,0.25,mission-aligned,197,28,2,93.33333333333333,96.55172413793103,48.212226066897344,21,9,8,1313,132,317,28,43,0,325,8,8,100,2.4615384615384617,2.875,43.25,3158.352393391533,3947.940491739416,789.5880983478833,0.2985146241591341,0.3007751937984495,34.292043454163334,19,2.533333333333333,0.18095238095238095,3,416,400,96.22222222222223,0.038461538461538464,0.5082601616063032,5,5,5,39,73.35714285714286,1.2673036403107114,454.18284626499087,1782.3812932831959,1,1,0,0,True,6.821210263296962e-13,4.547473508864641e-13,True,True
12,3,0.5,mission-aligned,203,28,2,93.33333333333333,96.55172413793103,49.058054594386775,21,9,8,1185,128,329,29,47,1,338,9,8,88.88888888888889,2.662721893491124,3,47.375,3158.352393391533,4737.5285900873005,1579.1761966957665,0.36402165157959265,0.300709219858156,38.36124478378191,5,0.6666666666666666,0.047619047619047616,7,378,369,89.11111111111111,0.023809523809523808,0.507163251633352,7,3,5,45,67.92857142857143,1.3433799355782672,458.0492525199126,1778.5148870282742,1,1,0,0,True,9.094947017729282e-13,0,True,True
13,4,0,mission-aligned,303,25,5,83.33333333333333,83.33333333333333,69.66551326412917,14,16,11,2977,270,610,26,46,1,622,12,11,91.66666666666667,1.9292604501607717,2.6363636363636362,30.454545454545453,3303.4007101732177,3303.4007101732177,0,0.39945183711335,0.3159420289855073,44.584080260815306,7,0.9333333333333333,0.06666666666666667,4,432,412,98.88888888888889,0.046296296296296294,0.5041128525086642,7,3,5,74,161.28,0.6991718817107189,712.733354680293,1493.873185691364,0,5,0,0,True,9.094947017729282e-13,1.3642420526593924e-12,True,True
14,4,0.1,mission-aligned,303,25,5,83.33333333333333,83.33333333333333,69.78085351787774,14,16,11,3007,260,536,26,46,1,548,12,11,91.66666666666667,2.18978102189781,2.6363636363636362,27.181818181818183,3303.4007101732177,3633.740781190538,330.3400710173218,0.33378982667348756,0.2550724637681159,38.00564071943179,7,0.9333333333333333,0.06666666666666667,3,443,415,99.55555555555556,0.06320541760722348,0.5037867590559804,6,4,5,76,159.96,0.7047586965030114,716.2791021445779,1490.3274382270793,0,5,0,0,True,9.094947017729282e-13,9.094947017729282e-13,True,True
15,4,0.25,mission-aligned,300,26,4,86.66666666666667,86.66666666666667,70.43444828911957,14,16,12,3068,257,619,27,49,1,632,13,12,92.3076923076923,2.0569620253164556,2.6666666666666665,55.583333333333336,3467.357973265034,4334.197466581292,866.8394933162583,0.3372642894425619,0.2639455782312925,38.898371798107945,11,1.4666666666666666,0.10476190476190476,5,463,417,100,0.09935205183585313,0.505170551421261,9,2,4,56,160.15384615384616,0.7189311065785525,704.9349676722886,1501.6715726993684,0,4,0,0,True,4.547473508864641e-13,0,True,True
16,4,0.5,mission-aligned,303,24,6,80,82.75862068965517,70.12687427912341,14,16,11,3098,265,518,25,45,1,530,12,11,91.66666666666667,2.2641509433962264,2.6363636363636362,32.36363636363637,3163.843746085222,4745.765619127831,1581.9218730426107,0.27668584047738065,0.2785185185185186,32.755534186956154,8,1.0666666666666667,0.0761904761904762,3,418,403,96.66666666666667,0.03588516746411483,0.5038517683219755,9,3,3,78,168.625,0.6660888036599485,717.8827914549765,1488.7237489166803,1,5,0,0,True,6.821210263296962e-13,0,True,True
17,5,0,mission-aligned,262,27,3,90,90,58.400615148019995,16,14,12,583,40,283,36,77,9,304,21,12,57.142857142857146,6.907894736842105,2.9166666666666665,53,3400.0335066576504,3400.0335066576504,0,0.2425384459826634,0.1541125541125541,31.52999994521195,14,1.8666666666666667,0.13333333333333333,1,445,414,99.11111111111111,0.0696629213483146,0.4977850139182834,6,5,4,44,49.666666666666664,1.7821045652196346,597.8754260632371,1670.3652134999074,0,2,0,1,True,2.2737367544323206e-13,9.094947017729282e-13,True,True
18,5,0.1,mission-aligned,262,27,3,90,90,58.400615148019995,16,14,12,583,40,283,36,77,9,304,21,12,57.142857142857146,6.907894736842105,2.9166666666666665,53,3400.0335066576504,3740.0368573234164,340.0033506657653,0.24253844598266316,0.1541125541125541,31.52999994521196,14,1.8666666666666667,0.13333333333333333,1,445,414,99.11111111111111,0.0696629213483146,0.4977850139182834,6,5,4,44,49.666666666666664,1.7821045652196346,597.8754260632371,1670.3652134999074,0,2,0,1,True,2.2737367544323206e-13,0,True,True
19,5,0.25,mission-aligned,262,27,3,90,90,58.400615148019995,16,14,12,583,40,283,36,77,9,304,21,12,57.142857142857146,6.907894736842105,2.9166666666666665,53,3400.0335066576504,4250.041883322064,850.0083766644127,0.24253844598266316,0.1541125541125541,31.52999994521196,14,1.8666666666666667,0.13333333333333333,1,445,414,99.11111111111111,0.0696629213483146,0.4977850139182834,6,5,4,44,49.666666666666664,1.7821045652196346,597.8754260632371,1670.3652134999074,0,2,0,1,True,2.2737367544323206e-13,0,True,True
20,5,0.5,mission-aligned,273,26,4,86.66666666666667,89.65517241379311,59.746251441753174,16,14,11,859,98,324,28,53,2,337,13,11,84.61538461538461,3.857566765578635,2.909090909090909,32.90909090909091,3295.556342488869,4943.334513733304,1647.7781712444348,0.3489325463135322,0.3295597484276729,41.00191983390903,13,1.7333333333333334,0.12380952380952381,6,443,398,95.55555555555556,0.10158013544018059,0.5046591624095872,4,5,6,41,63.11538461538461,1.4778825552700012,633.9176147233082,1634.3230248398359,1,3,0,0,True,2.2737367544323206e-13,9.094947017729282e-13,True,True
