Run,Seed,Reward Regime,Ticks,Completed Tasks,Failed Tasks,Completion Rate (%),Discovered Completion (%),Explored Area (%),Individual Tasks,Cooperative Tasks,Completed Cooperative Tasks,Total Bids,Contested Auction Rounds,Unresolved Auction Rounds,Contracts Awarded,Contract Memberships,Contract Releases,Coalition Attempts,Coalitions Formed,Coalition Tasks Completed,Coalition Success (%),Coalition Formation Efficiency (%),Mean Coalition Size,Mean Coalition Delay,Task Value,Rewards Distributed,Mission Bonuses,Reward Gini,Contract Gini,Top 20% Reward Share (%),Current Links,Mean Network Degree,Network Density,Isolated Robots,Information Transmissions,Unique Information Acquisitions,Information Coverage (%),Information Redundancy,Mean Reputation,Competitive Robots,Cooperative Robots,Balanced Robots,Strategy Switches,Coordination Overhead,Mission Efficiency,Energy Used,Energy Remaining,Failed — Undiscovered,Failed — Auction/No Feasible,Failed — Deadline After Assignment,Failed — Other,Task State Pass,Energy Error,Reward Error,Reputation Bounds Pass,Strategy Validity Pass
11,3,contribution-based,295,27,3,90,96.42857142857143,64.32141484044598,21,9,8,904,102,313,29,49,2,323,10,8,80,3.0959752321981426,3,48.25,3050.1901564703376,3050.1901564703376,0,0.29912447023755107,0.3074829931972789,35.8809850467202,12,1.6,0.11428571428571428,4,407,380,91.77777777777777,0.06633906633906633,0.5038170257098742,7,3,5,54,60.592592592592595,1.3396709248152152,667.8204489405183,1568.7436906076687,2,1,0,0,True,6.821210263296962e-13,4.547473508864641e-13,True,True
12,3,mission-aligned,197,28,2,93.33333333333333,96.55172413793103,48.212226066897344,21,9,8,1313,132,317,28,43,0,325,8,8,100,2.4615384615384617,2.875,43.25,3158.352393391533,3947.940491739416,789.5880983478833,0.2985146241591341,0.3007751937984495,34.292043454163334,19,2.533333333333333,0.18095238095238095,3,416,400,96.22222222222223,0.038461538461538464,0.5082601616063032,5,5,5,39,73.35714285714286,1.2673036403107114,454.18284626499087,1782.3812932831959,1,1,0,0,True,6.821210263296962e-13,4.547473508864641e-13,True,True
13,4,leader-priority,303,26,4,86.66666666666667,89.65517241379311,70.43444828911957,14,16,13,2535,231,673,26,50,0,686,13,13,100,1.8950437317784257,2.8461538461538463,20.923076923076923,3477.7299716011594,3477.7299716011594,0,0.38150419332121444,0.2693333333333334,41.767966386575324,2,0.26666666666666666,0.01904761904761905,11,425,404,96.66666666666667,0.04941176470588235,0.5056108217595074,7,2,6,81,140.23076923076923,0.8020087932008683,711.2741170471671,1495.3324233244884,1,3,0,0,True,9.094947017729282e-13,0,True,True
14,4,equal-share,303,25,5,83.33333333333333,83.33333333333333,69.66551326412917,14,16,11,2977,270,610,26,46,1,622,12,11,91.66666666666667,1.9292604501607717,2.6363636363636362,30.454545454545453,3303.4007101732177,3303.4007101732177,0,0.39945183711335,0.3159420289855073,44.584080260815306,7,0.9333333333333333,0.06666666666666667,4,432,412,98.88888888888889,0.046296296296296294,0.5041128525086642,7,3,5,74,161.28,0.6991718817107189,712.733354680293,1493.873185691364,0,5,0,0,True,9.094947017729282e-13,1.3642420526593924e-12,True,True
15,4,contribution-based,303,24,6,80,80,68.93502499038831,14,16,11,3071,240,541,24,42,0,552,11,11,100,1.9927536231884058,2.6363636363636362,23.454545454545453,3163.843746085221,3163.8437460852215,0,0.26202312388993065,0.1968253968253968,35.3756148939342,5,0.6666666666666666,0.047619047619047616,9,444,415,100,0.06531531531531531,0.5046169194693717,7,2,6,60,169.45833333333334,0.6655626061468322,715.6380753146364,1490.9684650570198,0,6,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
16,4,mission-aligned,300,26,4,86.66666666666667,86.66666666666667,70.43444828911957,14,16,12,3068,257,619,27,49,1,632,13,12,92.3076923076923,2.0569620253164556,2.6666666666666665,55.583333333333336,3467.357973265034,4334.197466581292,866.8394933162583,0.3372642894425619,0.2639455782312925,38.898371798107945,11,1.4666666666666666,0.10476190476190476,5,463,417,100,0.09935205183585313,0.505170551421261,9,2,4,56,160.15384615384616,0.7189311065785525,704.9349676722886,1501.6715726993684,0,4,0,0,True,4.547473508864641e-13,0,True,True
17,5,leader-priority,268,26,4,86.66666666666667,92.85714285714286,57.8239138792772,16,14,11,1322,82,695,31,61,5,710,15,11,73.33333333333333,2.112676056338028,3,66.18181818181819,3263.946442986989,3263.946442986989,0,0.32002943279745,0.21420765027322397,36.104493814850294,7,0.9333333333333333,0.06666666666666667,6,394,374,90,0.050761421319796954,0.5041232223486151,5,5,5,71,93.5,1.081780752813151,606.197740391624,1662.0428991715212,2,2,0,0,True,6.821210263296962e-13,9.094947017729282e-13,True,True
18,5,equal-share,262,27,3,90,90,58.400615148019995,16,14,12,583,40,283,36,77,9,304,21,12,57.142857142857146,6.907894736842105,2.9166666666666665,53,3400.0335066576504,3400.0335066576504,0,0.2425384459826634,0.1541125541125541,31.52999994521195,14,1.8666666666666667,0.13333333333333333,1,445,414,99.11111111111111,0.0696629213483146,0.4977850139182834,6,5,4,44,49.666666666666664,1.7821045652196346,597.8754260632371,1670.3652134999074,0,2,0,1,True,2.2737367544323206e-13,9.094947017729282e-13,True,True
19,5,contribution-based,262,26,4,86.66666666666667,92.85714285714286,57.939254133025756,16,14,12,843,67,376,31,64,5,393,17,12,70.58823529411765,4.325699745547074,2.9166666666666665,52.916666666666664,3338.839955250157,3338.8399552501573,0,0.31685106388734896,0.2250000000000001,38.855238850182076,13,1.7333333333333334,0.12380952380952381,3,406,373,89.55555555555556,0.0812807881773399,0.5031288931559332,5,6,4,59,63.34615384615385,1.5085476659999806,599.2810454066221,1668.9595941565221,2,2,0,0,True,2.2737367544323206e-13,9.094947017729282e-13,True,True
20,5,mission-aligned,262,27,3,90,90,58.400615148019995,16,14,12,583,40,283,36,77,9,304,21,12,57.142857142857146,6.907894736842105,2.9166666666666665,53,3400.0335066576504,4250.041883322064,850.0083766644127,0.24253844598266316,0.1541125541125541,31.52999994521196,14,1.8666666666666667,0.13333333333333333,1,445,414,99.11111111111111,0.0696629213483146,0.4977850139182834,6,5,4,44,49.666666666666664,1.7821045652196346,597.8754260632371,1670.3652134999074,0,2,0,1,True,2.2737367544323206e-13,0,True,True
