Experiment,Experiment Name,Condition,Run,Seed,Factor 1,Factor 1 Level,Factor 2,Factor 2 Level,Ticks,Completed Tasks,Failed Tasks,Completion Rate (%),Discovered Completion (%),Explored Area (%),Individual Tasks,Cooperative Tasks,Completed Cooperative Tasks,Total Bids,Unresolved Auction Rounds,Contracts Awarded,Contract Releases,Coalition Attempts,Coalitions Formed,Coalition Success (%),Coalition Formation Efficiency (%),Mean Coalition Delay,Task Value,Rewards Distributed,Mission Bonuses,Reward Gini,Contract Gini,Top 20% Reward Share (%),Information Coverage (%),Mean Reputation,Strategy Switches,Coordination Overhead,Mission Efficiency,Energy Used,Energy Remaining,Failed — Undiscovered,Failed — Auction/No Feasible,Failed — Deadline After Assignment,Failed — Other,Task State Pass,Energy Error,Reward Error,Reputation Bounds Pass,Strategy Validity Pass
BS01,Baseline Replication,Baseline,18,18,,,,,265,26,4,86.66666666666667,100.0,61.24567474048443,17,13,10,478,182,31,5,197,15,66.66666666666667,7.614213197969543,42.3,3109.7868206348453,3109.7868206348453,0,0.373580637819533,0.3254237288135593,38.053136306059436,86.44444444444444,0.5017430137562082,70,40.57692307692308,1.8746069286970022,618.9007396854066,1676.6817207114964,4,0,0,0,True,9.094947017729282e-13,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,19,19,,,,,267,27,3,90.0,93.10344827586206,61.937716262975776,19,11,9,2251,440,30,3,452,12,75.0,2.6548672566371683,35.0,3223.2240955789375,3223.2240955789375,0,0.28302532237448474,0.2666666666666666,32.432767573045446,96.66666666666667,0.5028182693938539,39,115.85185185185185,0.8626374725579092,627.4758639818549,1575.5796554109727,1,2,0,0,True,9.094947017729282e-13,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,20,20,,,,,292,28,2,93.33333333333333,93.33333333333333,64.62898885044214,18,12,10,1616,447,32,4,461,14,71.42857142857143,3.036876355748373,55.2,3177.9354556643693,3177.9354556643693,0,0.19319357368952317,0.193103448275862,29.55918492827576,100.0,0.502211213281848,59,90.17857142857143,0.9920557238830094,705.384022850651,1649.1655327744909,0,2,0,0,True,0.0,9.094947017729282e-13,True,True
BS01,Baseline Replication,Baseline,21,21,,,,,229,29,1,96.66666666666667,100.0,54.97885428681276,21,9,9,827,274,33,4,287,13,69.23076923076923,4.529616724738676,52.77777777777778,3256.0318837157806,3256.0318837157806,0,0.34643164221986855,0.3034482758620689,38.729517380808794,95.11111111111111,0.5039581104988419,48,53.13793103448276,1.57929126405458,547.7044859454454,1635.3921848284072,1,0,0,0,True,9.094947017729282e-13,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,22,22,,,,,223,30,0,100.0,100.0,55.40176855055748,17,13,13,839,227,32,2,242,15,86.66666666666667,6.198347107438017,29.307692307692307,3407.506705030622,3407.506705030622,0,0.1644645564886309,0.19770114942528738,30.398615091417103,96.0,0.5070563371975189,27,51.13333333333333,1.675661760604809,554.5289526453867,1714.14151863551,0,0,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,23,23,,,,,303,26,4,86.66666666666667,86.66666666666667,67.74317570165321,15,15,11,2438,516,28,2,529,13,84.61538461538461,2.4574669187145557,51.63636363636363,2977.906487859634,2977.906487859634,0,0.28794089385029875,0.2666666666666666,33.39012256495905,100.0,0.5036777968076466,77,132.1153846153846,0.727387708826668,705.9741649789829,1521.5037565940859,0,4,0,0,True,0.0,9.094947017729282e-13,True,True
BS01,Baseline Replication,Baseline,24,24,,,,,260,26,4,86.66666666666667,92.85714285714286,61.13033448673587,18,12,10,1646,545,32,6,561,16,62.5,2.8520499108734403,67.2,3168.342942128911,3168.342942128911,0,0.26783861066034764,0.2844444444444445,36.22665293841057,90.88888888888889,0.4999796801304294,49,100.15384615384616,0.9919732057663972,602.980365307401,1627.4359218789582,2,2,0,0,True,6.821210263296962e-13,0.0,True,True
BS01,Baseline Replication,Baseline,25,25,,,,,269,27,3,90.0,93.10344827586206,67.08958093041139,17,13,11,553,216,27,0,227,11,100.0,4.845814977973569,23.636363636363637,3117.4250321672625,3117.4250321672625,0,0.2820396087219734,0.22608695652173916,34.02923476267092,96.22222222222223,0.5059051571473908,42,45.2962962962963,1.6884439391003454,664.330197867465,1570.9385495444637,1,2,0,0,True,2.2737367544323206e-13,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,26,26,,,,,274,27,3,90.0,93.10344827586206,64.85966935793925,18,12,9,1877,478,32,5,492,14,64.28571428571429,2.845528455284553,74.77777777777777,3104.1848307193977,3104.1848307193977,0,0.28959385693291684,0.2666666666666666,36.532819009399965,93.77777777777777,0.5009213549098565,46,104.14814814814815,0.9122192907775964,638.8932101110469,1600.6203895471513,1,2,0,0,True,2.2737367544323206e-13,1.3642420526593924e-12,True,True
BS01,Baseline Replication,Baseline,27,27,,,,,245,26,4,86.66666666666667,96.29629629629629,58.78508266051519,19,11,11,731,215,29,3,228,13,84.61538461538461,5.701754385964913,29.09090909090909,3131.7147948993133,3131.7147948993133,0,0.28910600163010947,0.2379084967320262,36.92774315507765,85.55555555555556,0.5038998620141623,54,52.80769230769231,1.656034240062892,574.0930215913764,1750.0476234030223,3,1,0,0,True,0.0,9.094947017729282e-13,True,True
