Metric,No mission bonus Mean,No mission bonus SD,Low incentive Mean,Low incentive SD,Moderate incentive Mean,Moderate incentive SD,High incentive Mean,High incentive SD
Completion Rate (%),92.22222222222221,6.799444046088445,92.66666666666667,5.898243130852725,91.11111111111111,6.799444046088445,91.55555555555556,6.110936953282919
Completed Tasks,27.666666666666668,2.0398332138265336,27.8,1.769472939255817,27.333333333333332,2.0398332138265336,27.466666666666665,1.8332810859848756
Failed Tasks,2.3333333333333335,2.0398332138265336,2.2,1.769472939255817,2.6666666666666665,2.0398332138265336,2.533333333333333,1.8332810859848756
Coalition Success (%),78.24042563903245,12.171847381611851,81.93554295721478,11.31589588962349,82.00469492381258,12.642727251800764,82.68263962846007,10.437933823357605
Coalition Formation Efficiency (%),4.792191885788862,1.8111237271821596,4.790236560276289,1.877762075217864,4.565632727716022,1.897072310405187,4.57067561438817,1.683225902174927
Mean Coalition Delay,42.67994306619307,16.24700516031989,39.707884985384986,14.79769754455468,42.21473119473119,14.909202198282806,40.340972823472825,14.772829543404026
Contract Releases,3.5,2.460025231157403,2.8,2.171921126401773,2.8,2.325273435904719,2.6333333333333333,1.9205482933595908
Total Bids,1226.1333333333334,821.5470995515773,1216.3333333333333,848.0653168295444,1263.4,891.7251238760317,1233.9666666666667,843.5569389172271
Unresolved Auction Rounds,338.8,159.58964619427476,324.26666666666665,154.3337032343324,336.8333333333333,173.10213913962082,330.8333333333333,151.3917237598823
Coordination Overhead,75.39604383441164,44.10530300766571,73.60449318157364,42.939881130257575,77.57080152414636,46.977400469673555,75.01521876800712,41.59906826099831
Mission Efficiency,1.481805544403395,0.5414471785413636,1.5078552506518497,0.5319012790349453,1.4591666670124392,0.5536776855997932,1.4651349330148873,0.5305059676434617
Task Value,3337.577008396133,266.625247402055,3345.757278344642,232.613545413451,3277.40765313198,246.20688954990092,3313.648846687239,219.11140212696247
Rewards Distributed,3337.577008396133,266.625247402055,3680.333006179106,255.87489995479615,4096.759566414975,307.7586119373763,4970.473270030858,328.66710319044364
Mission Bonuses,2.842170943040401e-15,8.672275743872565e-15,334.5757278344643,23.26135454134512,819.351913282995,61.551722387475216,1656.8244233436194,109.55570106348122
Reward Gini,0.29571217385095583,0.07079541978191442,0.3034245770832026,0.07443217107479927,0.29950358860041354,0.06422092938677937,0.3167430742493076,0.07057514451094207
Contract Gini,0.25892189499618523,0.07018268150160017,0.2640462743230127,0.07747447532496907,0.2605760324915035,0.06366115687375203,0.27855470978126246,0.059475712965022694
Top 20% Reward Share (%),36.01243687736197,4.488988684953681,36.575946112327344,4.802610201386776,36.308936983361484,3.909298281618723,37.58781779650106,4.384530250333222
Information Coverage (%),95.15555555555555,3.343993172288683,94.87407407407407,3.844102628408619,94.89629629629628,3.8730309773260028,94.8,4.255605073589236
Strategy Switches,52.233333333333334,14.866493994152115,50.766666666666666,13.99922001111277,51.03333333333333,15.130429110156502,52.7,14.617301982287268
Ticks,259.8,38.857298608786664,253.73333333333332,38.47698222209663,260.3333333333333,39.69741877592628,263.2,38.674057953888024
