"BehaviorSpace results (NetLogo 7.0.4)","Spreadsheet version 2.0"
"MOSAIC_v0_3_integrated_final_Subm_ready.nlogo.nlogox"
"BS01_Baseline_Replication_30_Seeds"
"07/20/2026 19:48:48:647 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"task-deadline-base","250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",,"250",
"task-deadline-heterogeneity","0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",
"task-service-duration-base","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"detection-radius","2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",
"communication-radius","8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",
"communication-quality-threshold","0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",,"0.25",
"communication-failure-rate","0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",,"0.05",
"information-sharing-probability","0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",
"show-network?","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"minimum-capability-fit","0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",,"0.6",
